filename,cluster,x,y
Akash Kundu_2025_Improving thermal state preparation of Sachdev-Ye-_intro.txt,6,4.6235867,4.3456492
Akash Kundu_2025_TensorRL-QAS- Reinforcement learning with tensor n_intro.txt,4,-1.4847832,2.5247073
Akbar Fahmi_2024_Almost-quantum correlations violate the isotropy a_intro.txt,-1,2.937609,3.5739136
Akhil Pratap Singh_2023_Experimental demonstration of a high-fidelity virt_intro.txt,24,-0.9864162,6.126031
Akshay Degwekar_2013_Extending Construction X for Quantum Error-Correct_intro.txt,30,-0.39272162,9.472438
Akshaya Jayashankar_2018_Pretty good state transfer via adaptive quantum er_intro.txt,-1,-1.1697379,7.0170093
Akshaya Jayashankar_2022_Quantum Error Correction- Noise-adapted Techniques_intro.txt,-1,-1.214617,6.820047
Alastair Kay_2005_Error Correcting the Control Unit in Global Contro_intro.txt,29,0.54103804,6.732042
Alastair Kay_2012_The Implications of Ignorance for Quantum Error Co_intro.txt,17,1.5570116,8.642732
Albert Jeu-Liang Sheu_2014_The Structure of Line Bundles over Quantum Teardro_intro.txt,0,5.781128,3.386885
Alejandro Bermudez_2017_Micromotion-enabled improvement of quantum logic g_intro.txt,22,0.5051347,5.1745234
Alejandro Perdomo-Ortiz_2014_A Quantum Annealing Approach for Fault Detection a_intro.txt,14,-0.7429664,2.95146
Aleks Kissinger_2022_Phase-free ZX diagrams are CSS codes (...or how to_intro.txt,19,1.9153005,8.756694
Aleksander Kubica_2017_Three-dimensional color code thresholds via statis_intro.txt,19,2.1744695,9.117834
Aleksander Kubica_2018_Ungauging quantum error-correcting codes_intro.txt,10,3.0447266,5.7746277
Aleksander Kubica_2020_Using Quantum Metrological Bounds in Quantum Error_intro.txt,-1,-0.8418465,9.243798
Aleksander Kubica_2021_Single-shot quantum error correction with the thre_intro.txt,17,1.6013088,8.434009
Aleksandrs Belovs_2014_Applications of the Adversary Method in Quantum Qu_intro.txt,-1,-0.087313175,2.1183085
Aleksey K. Fedorov_2023_Deploying hybrid quantum-secured infrastructure fo_intro.txt,5,1.3827095,1.2166203
Alessandro Baroni_2021_Nuclear two point correlation functions on a quant_intro.txt,14,-0.6172868,4.719081
Alessandro Roggero_2019_Quantum Computing for Neutrino-nucleus Scattering_intro.txt,-1,0.4235106,4.610865
Alessandro Santini_2021_Experimental violations of Leggett-Garg's inequali_intro.txt,15,2.75807,3.2871993
Alessandro Santini_2022_Observation of partial and infinite-temperature th_intro.txt,-1,0.012962627,5.6268516
Alessandro Sergi_2004_Quantum-Classical Limit of Quantum Correlation Fun_intro.txt,-1,2.2577846,3.4084733
Alessandro Summer_2023_Calculating the many-body density of states on a d_intro.txt,14,-1.3971381,3.7313826
Alessio Morea_2022_Entanglement recovery in noisy binary quantum info_intro.txt,2,3.1946352,4.664475
Alev Orfi_2024_Bounding speedup of quantum-enhanced Markov chain _intro.txt,-1,2.2269325,3.3486202
Alex Bocharov_2012_A Depth-Optimal Canonical Form for Single-qubit Qu_intro.txt,-1,0.46620858,6.763233
Alex Fischer_2023_Hardness results for decoding the surface code wit_intro.txt,-1,0.83335423,9.2491255
Alex Matos-Abiague_2017_Tunable Magnetic Textures- From Majorana Bound Sta_intro.txt,10,2.1000142,5.6402016
Alexander A. Klyachko_2003_Entanglement and quantum fluctuations_intro.txt,15,2.9894,2.9899886
Alexander Benítez-Buenache_2024_Bayesian Parameterized Quantum Circuit Optimizatio_intro.txt,4,-1.5936775,3.0140877
Alexander J. McCaskey_2019_Quantum Chemistry as a Benchmark for Near-Term Qua_intro.txt,14,-1.4342828,4.5584903
Alexander Jahn_2019_Majorana dimers and holographic quantum error-corr_intro.txt,10,2.5873384,5.9273295
Alexander Jahn_2021_Holographic tensor network models and quantum erro_intro.txt,6,4.784868,4.52527
Alexander L. Burin_2006_Energy delocalization in strongly disordered syste_intro.txt,9,2.6706092,4.4718533
Alexander M. Goebel_2008_Teleportation-Based Controlled-NOT Gate for Fault-_intro.txt,29,0.47511414,6.5960755
Alexander McCaskey_2018_Validating Quantum-Classical Programming Models wi_intro.txt,14,-0.14325643,3.8990738
Alexander Miessen_2024_Benchmarking digital quantum simulations above hun_intro.txt,14,-0.3486779,4.0106344
Alexander Pechen_2015_Quantum measurements as a control resource_intro.txt,12,3.4556637,3.2177267
Alexander R. H. Smith_2020_Quantum time dilation- A new test of relativistic _intro.txt,12,3.7874186,3.4977036
Alexander S. Green_2013_Quipper- A Scalable Quantum Programming Language_intro.txt,-1,2.6704898,8.677789
Alexander Schuckert_2024_Fermion-qubit fault-tolerant quantum computing_intro.txt,29,0.3278814,6.412323
Alexander Streltsov_2014_Quantum Discord and its Role in Quantum Informatio_intro.txt,15,2.732375,3.1819994
Alexander Yu. Vlasov_1999_Error Correction with Euclidean Qubits_intro.txt,-1,-1.2660395,7.9410987
Alexander Yu. Vlasov_2003_Von Neumann Quantum Processors_intro.txt,14,0.70251894,3.1147792
Alexandre M. Souza_2011_Experimental magic state distillation for fault-to_intro.txt,8,2.4201016,7.124265
Alexandru Paler_2014_Mapping of Topological Quantum Circuits to Physica_intro.txt,8,1.551153,7.179996
Alexandru Paler_2014_Software Pauli Tracking for Quantum Computation_intro.txt,-1,0.56442326,4.2822456
Alexandru Paler_2015_An introduction to Fault-tolerant Quantum Computin_intro.txt,29,0.28235978,6.4919195
"Alexandru Paler_2016_Circular CNOT Circuits- Definition, Analysis and A_intro.txt",14,0.4624363,3.711705
Alexandru Paler_2017_A Specification Format and a Verification Method o_intro.txt,29,0.29087353,6.686357
Alexandru Paler_2017_Online Scheduled Execution of Quantum Circuits Pro_intro.txt,-1,1.8865125,7.9289875
Alexandru Paler_2017_Synthesis of Arbitrary Quantum Circuits to Topolog_intro.txt,8,2.3770416,7.166531
Alexandru Paler_2018_Controlling distilleries in fault-tolerant quantum_intro.txt,29,0.3010142,6.401759
Alexandru Paler_2019_Really Small Shoe Boxes - On Realistic Quantum Res_intro.txt,14,0.02966135,3.1734927
Alexandru Paler_2019_Reliable quantum circuits have defects_intro.txt,29,0.16243939,6.3350134
Alexandru Paler_2019_SurfBraid- A concept tool for preparing and resour_intro.txt,17,1.945117,8.149515
Alexandru Paler_2022_Pipelined correlated minimum weight perfect matchi_intro.txt,18,1.9065392,9.462909
Alexandru Paler_2023_A T-depth two Toffoli gate for 2D square lattice a_intro.txt,-1,1.2229267,6.9241843
Alexandru Paler_2024_Architecting a reliable quantum operating system- _intro.txt,29,0.17029022,6.4404316
Alexei Ashikhmin_2000_Nonbinary Quantum Stabilizer Codes_intro.txt,30,-0.2701161,9.438343
Alexey A. Kovalev_2013_Spin glass reflection of the decoding transition f_intro.txt,10,2.9380217,5.663058
Alexey A. Melnikov_2012_Measure of decoherence in quantum error correction_intro.txt,27,-0.7509381,7.527024
Alexey Milekhin_2020_Quantum error correction and large $N$_intro.txt,6,4.713242,4.6255693
"Alexey V. Nenashev_2023_Qubits, entangled states, and quantum gates realiz_intro.txt",12,3.827425,3.2345932
Alexia Salavrakos_2024_Error-mitigated photonic quantum circuit Born mach_intro.txt,-1,1.2020174,4.308482
Alexis Kirke_2019_Applying Quantum Hardware to non-Scientific Proble_intro.txt,14,-0.02679963,2.8823645
Alexis T. E. Shaw_2022_Quantum computation on a 19-qubit wide 2d nearest _intro.txt,-1,0.6800419,6.313826
Alexis Toumi_2022_DisCoPy for the quantum computer scientist_intro.txt,-1,2.5686364,8.483608
Ali Abu-Nada_2015_Optimizing the Frequency of Quantum Error Correcti_intro.txt,3,2.6113818,7.9988794
Ali H. Z. Kavaki_2024_From square plaquettes to triamond lattices for SU_intro.txt,-1,3.1059613,5.762526
Ali Lavasani_2019_Universal logical gates with constant overhead- in_intro.txt,21,1.4978423,5.811039
Ali Mohammad Nassimi_2007_Quantum Mechanics in Phase Space_intro.txt,12,3.72886,2.7585125
Ali Saif M. Hassan_2012_Geometric measure of quantum discord and total qua_intro.txt,15,2.7763293,3.2403848
Alicja Dutkiewicz_2024_Error mitigation and circuit division for early fa_intro.txt,-1,-0.64645845,6.0693736
Alireza Seif_2022_Shadow Distillation- Quantum Error Mitigation with_intro.txt,22,0.537093,5.269755
"Alireza Tavanfar_2023_Does Quantum Mechanics Breed Larger, More Intricat_intro.txt",12,3.5803103,2.9185889
Alisa Haukisalmi_2024_Comparing resource requirements of noisy quantum s_intro.txt,24,-2.1399832,5.502318
Aliya Khadieva_2024_A Representative Framework for Implementing Quantu_intro.txt,14,0.67467415,3.2206895
Aliza U. Siddiqui_2024_Stressing Out Modern Quantum Hardware- Performance_intro.txt,4,-1.845261,2.7461402
Allen Stairs_2015_Quantum Logic and Quantum Reconstruction_intro.txt,14,1.3869718,3.1274438
Allyson Silva_2024_Optimizing Multi-level Magic State Factories for F_intro.txt,-1,0.09028746,6.103545
Almudena Carrera Vazquez_2024_Combining quantum processors with real-time classi_intro.txt,-1,1.4712288,2.3454468
Alvin Gonzales_2020_Sufficient Conditions and Constraints for Reversin_intro.txt,-1,4.378966,3.1191764
Alvin Gonzales_2022_Quantum Error Mitigation by Pauli Check Sandwichin_intro.txt,-1,1.016681,7.3186765
Alvin Gonzales_2023_Fault Tolerant Quantum Error Mitigation_intro.txt,24,-1.456798,5.829006
"Amandeep Singh Bhatia_2019_Quantum finite automata- survey, status and resear_intro.txt",14,0.9291448,3.333317
Amara Katabarwa_2023_Early Fault-Tolerant Quantum Computing_intro.txt,29,0.26364103,6.306138
Amarsanaa Davaasuren_2018_General framework for constructing fast and near-o_intro.txt,18,2.3415744,9.344037
"Amaury Freslon_2018_Quantum reflections, random walks and cut-off_intro.txt",0,5.6347694,2.8680894
Amaury Freslon_2024_Discrete quantum subgroups of free unitary quantum_intro.txt,0,5.4219875,2.7318914
Amine Assouel_2021_A Quantum Generative Adversarial Network for distr_intro.txt,4,-2.0964236,3.1376023
Amine Bentellis_2023_Benchmarking the Variational Quantum Eigensolver u_intro.txt,14,-1.4570974,4.260601
Amir Kalev_2024_A simple quantum simulation algorithm with near-op_intro.txt,14,-0.7059441,4.116273
Amit Kumar Bhuyan_2024_Harnessing Quantum Entanglement- Comprehensive Str_intro.txt,13,1.81506,2.282875
Amit Saha_2021_Moving Quantum States without SWAP via Intermediat_intro.txt,14,0.1007403,3.698803
Ammar Daskin_2024_A unifying primary framework for quantum graph neu_intro.txt,-1,2.9130037,8.358178
Ammar Daskin_2024_Quantum Kolmogorov-Arnold networks by combining qu_intro.txt,14,0.5231677,3.385168
Amrit De_2012_Universal set of scalable dynamically corrected ga_intro.txt,17,1.4249749,8.494462
Amrit De_2013_Dynamically corrected gates for qubits with always_intro.txt,-1,0.94634837,8.239738
Amrit De_2015_Universal set of Dynamically Protected Gates for B_intro.txt,-1,-0.92366713,7.7562137
An Min Wang_1999_An Universal Quantum Network - Quantum CPU_intro.txt,14,0.8524408,3.5537462
An Min Wang_1999_Quantum CPU and Quantum Algorithm_intro.txt,-1,4.3901634,5.6935453
An Min Wang_1999_Quantum CPU and Quantum Simulating_intro.txt,0,5.5145125,3.4408424
Ana Martin_2019_Digital-analog quantum algorithm for the quantum F_intro.txt,14,-0.62522334,3.8186696
Ananda Roy_2016_Concurrent Remote Entanglement with Quantum Error _intro.txt,-1,-0.5531629,7.243922
Anandu Kalleri Madhu_2020_Quantum walk processes in quantum devices_intro.txt,1,0.54491895,2.0149002
"Anatol N. Kirillov_1996_Quantum double Schubert polynomials, quantum Schub_intro.txt",0,5.6787224,3.5013072
Anatol N. Kirillov_1996_Quantum Grothendieck polynomials_intro.txt,0,5.702442,3.4882863
Anatol N. Kirillov_1997_Quantum Schubert polynomials and quantum Schur fun_intro.txt,0,5.741755,3.3749926
Anbang Wang_2021_Error-mitigated deep-circuit quantum simulation of_intro.txt,-1,-0.97296005,5.2151375
Anbang Wu_2021_Mapping Surface Code to Superconducting Quantum Pr_intro.txt,17,1.8018059,7.541194
Anbang Wu_2021_QECV- Quantum Error Correction Verification_intro.txt,30,-0.5013686,8.710601
Andi Gu_2023_Zero and Finite Temperature Quantum Simulations Po_intro.txt,14,-0.20223394,3.9009454
Andras Gyenis_2019_Experimental realization of an intrinsically error_intro.txt,21,1.4375571,5.7564063
Andre He_2020_Resource Efficient Zero Noise Extrapolation with I_intro.txt,24,-2.3978498,5.4500337
Andre Van Rynbach_2012_A Quantum Performance Simulator based on fidelity _intro.txt,14,-0.29135355,4.311388
Andrea Cacioppo_2023_Quantum Diffusion Models_intro.txt,4,-1.8821893,3.142358
Andrea Mari_2021_Extending quantum probabilistic error cancellation_intro.txt,24,-1.7364534,5.581692
Andrea Pizzamiglio_2021_Dynamical localization simulated on actual quantum_intro.txt,14,-0.1748348,4.0898743
Andrea Rodriguez-Blanco_2022_Witnessing entanglement in trapped-ion quantum err_intro.txt,22,0.40968272,5.366689
Andreas Juul Bay-Smidt_2025_Fault-tolerant quantum simulation of generalized H_intro.txt,14,-0.6739659,4.612571
Andreas Ketterer_2023_Characterizing crosstalk of superconducting transm_intro.txt,22,1.0224351,6.0122414
Andreas Klappenecker_2006_Clifford Code Constructions of Operator Quantum Er_intro.txt,30,-0.55262375,9.048839
Andreas Peter_2018_Benchmarks for approximate CNOTs based on a 17-Qub_intro.txt,17,1.3382905,8.449621
Andrei Khrennikov_2003_Probabilistic foundations of quantum mechanics and_intro.txt,16,3.286816,2.768977
Andrei Khrennikov_2012__Einstein's Dream_ - Quantum Mechanics as Theory o_intro.txt,12,3.6779387,2.9039354
Andrei T. Patrascu_2017_Cosmological constant as quantum error correction _intro.txt,6,4.6794252,4.473455
Andrei T. Patrascu_2018_Holographic quantum information and (de)confinemen_intro.txt,6,4.5236115,4.1919494
Andrew Arrasmith_2020_Operator Sampling for Shot-frugal Optimization in _intro.txt,24,-2.5057852,5.3766336
Andrew D. Greentree_2001_Robust quantum memory via quantum control_intro.txt,-1,2.141798,2.9649198
Andrew Eddins_2024_Lightcone shading for classically accelerated quan_intro.txt,24,-1.7691352,5.951903
Andrew J. Ferris_2013_Tensor Networks and Quantum Error Correction_intro.txt,-1,-0.018086696,9.345829
Andrew J. Landahl_2011_Fault-tolerant quantum computing with color codes_intro.txt,17,1.5634211,7.938527
Andrew J. Landahl_2014_Quantum computing by color-code lattice surgery_intro.txt,19,2.3834963,8.95273
Andrew J. Landahl_2020_The surface code on the rhombic dodecahedron_intro.txt,19,2.225274,8.747962
Andrew J. Landahl_2021_Logical fermions for fault-tolerant quantum simula_intro.txt,17,1.8647275,7.5494013
Andrew M. Childs_2012_Universal computation by multi-particle quantum wa_intro.txt,1,0.4595516,1.7251873
Andrew M. Steane_1998_Efficient fault-tolerant quantum computing_intro.txt,28,-0.0505619,7.1672845
Andrew M. Steane_2002_Overhead and noise threshold of fault-tolerant qua_intro.txt,-1,-0.24305667,7.6415267
Andrew M. Steane_2002_Quantum computer architecture for fast entropy ext_intro.txt,27,-0.9329298,7.30509
Andrew M. Steane_2003_Fault-Tolerant Logical Gate Networks for CSS Codes_intro.txt,26,0.36508656,7.7727876
Andrew N. Glaudell_2015_Serialized Quantum Error Correction Protocol for H_intro.txt,13,1.7225384,2.9208171
Andrew N. Glaudell_2020_Optimal Two-Qubit Circuits for Universal Fault-Tol_intro.txt,8,1.805376,7.127054
Andrew Patterson_2019_Quantum State Discrimination Using Noisy Quantum N_intro.txt,4,-1.7714524,2.5773225
Andrew S. Darmawan_2016_Tensor-Network Simulations of the Surface Code und_intro.txt,18,1.9382958,9.359806
Andrew S. Darmawan_2018_Linear-time general decoding algorithm for the sur_intro.txt,18,1.9548454,9.411983
Andrew S. Darmawan_2021_Practical quantum error correction with the XZZX c_intro.txt,-1,-1.1418732,7.9184723
Andrew S. Darmawan_2024_Optimal adaptation of surface-code decoders to loc_intro.txt,18,1.9258652,9.40006
Andrew S. Fletcher_2007_Channel-Adapted Quantum Error Correction_intro.txt,-1,-1.3819141,8.609013
Andrew S. Fletcher_2007_Structured Near-Optimal Channel-Adapted Quantum Er_intro.txt,31,-1.4304731,8.164536
"Andrew Steane_1996_Active stabilisation, quantum computation and quan_intro.txt",30,-0.34283403,7.9980836
Andrew Steane_1996_Quantum Reed-Muller Codes_intro.txt,30,-0.67950827,8.586352
Andrew Steane_1996_Simple Quantum Error Correcting Codes_intro.txt,30,-0.6473217,8.44525
Andrew Zhao_2023_Group-theoretic error mitigation enabled by classi_intro.txt,-1,-0.76573855,5.8607893
Andrey Grozin_2011_Quantum computer for dummies (in Russian)_intro.txt,2,3.8603044,5.169249
Andrii Semenov_2024_A quantum implementation of high-order power metho_intro.txt,14,-1.02465,4.2350154
Andris Ambainis_2004_Quantum walks and their algorithmic applications_intro.txt,1,0.4746011,1.6380863
Andrzej Grudka_2002_Multiparty d-dimensional quantum information split_intro.txt,5,2.011105,1.2974283
Andrzej Więckowski_2019_Influence of long-range interaction on Majorana ze_intro.txt,10,2.508505,5.8251367
Angel Ballesteros_2025_Quantum Galilei group as quantum reference frame t_intro.txt,0,5.6564746,3.3129056
Angela Sara Cacciapuoti_2018_Quantum Internet- Networking Challenges in Distrib_intro.txt,13,1.5598527,2.1021447
Angus Kan_2024_Resource-optimized fault-tolerant simulation of th_intro.txt,14,-0.6080935,4.5097775
Angus Lowe_2020_Unified approach to data-driven quantum error miti_intro.txt,-1,-2.148245,5.7447
Angus Mingare_2024_Quantum Error Mitigation via Linear-Depth Verifier_intro.txt,14,-0.5849792,3.7171447
Anindita Banerjee_2009_An algorithm for minimization of quantum cost_intro.txt,14,0.3864359,3.6065006
Anirudh Lanka_2020_Testing of flag-based fault-tolerance on IBM quant_intro.txt,-1,-0.38779166,6.9813323
Anita Weidinger_2023_Error Mitigation for Quantum Approximate Optimizat_intro.txt,14,-0.6252489,3.0549273
Anjali A. Agrawal_2024_Quantifying fault tolerant simulation of strongly _intro.txt,14,-0.6554139,4.7353024
Anna Levit_2017_Free energy-based reinforcement learning using a q_intro.txt,4,-1.4065163,2.7598858
Anne Broadbent_2015_Quantum Cryptography Beyond Quantum Key Distributi_intro.txt,5,1.5325755,1.0756768
Anne Marin_2012_On the equivalence between sharing quantum and cla_intro.txt,5,2.0392027,1.2374719
Annie Jihyun Park_2016_Simulation of anyonic statistics and its topologic_intro.txt,10,2.7358148,5.5720673
Annie Paine_2025_Differential equation quantum solvers- engineering_intro.txt,14,-1.1492226,3.633049
Anqi Zhang_2022_Quantum algorithm for neural network enhanced mult_intro.txt,4,-2.136362,2.751643
Anthony Bordg_2020_Certified Quantum Computation in Isabelle-HOL_intro.txt,-1,4.0531106,1.9465127
Anthony Ciavarella_2020_An Algorithm for Quantum Computation of Particle D_intro.txt,-1,0.60948414,4.6490936
Anthony N Ciavarella_2021_Preparation of the SU(3) Lattice Yang-Mills Vacuum_intro.txt,14,-1.4690425,4.2036133
Anthony P. Thompson_2025_Non-zero noise extrapolation- accurately simulatin_intro.txt,-1,-1.4914126,5.416372
Anthony Ryan O'Rourke_2024_Compare the Pair- Rotated vs. Unrotated Surface Co_intro.txt,26,0.05459352,7.8235226
Antoine Suarez_2007_Classical Demons and Quantum Angels- On 't Hooft's_intro.txt,12,3.9258707,3.3063428
Antonio Acín_2012_Guess your neighbour's input- no quantum advantage_intro.txt,-1,4.285299,1.9937104
Antonio D'Arrigo_2008_Memory effects in a Markov chain dephasing channel_intro.txt,-1,-1.1690378,8.167585
Antonio deMarti iOlius_2022_Performance enhancement of surface codes via recur_intro.txt,18,1.8399705,9.397234
Antonio deMarti iOlius_2022_Performance of surface codes in realistic quantum _intro.txt,31,-1.141642,8.795725
Antonio deMarti iOlius_2023_Decoding algorithms for surface codes_intro.txt,18,2.1544554,9.427914
Antonios M. Alvertis_2024_Classical Benchmarks for Variational Quantum Eigen_intro.txt,14,-0.6791059,4.4627566
Antony Valentini_2014_Quantum interview_intro.txt,6,4.046866,4.068196
Antti J. Harju_2014_Quantum Orbifolds_intro.txt,0,5.7528977,3.4148676
Anupama Ray_2022_Classical ensemble of Quantum-classical ML algorit_intro.txt,4,-1.7588419,2.5472739
Aosai Zhang_2025_Demonstrating quantum error mitigation on logical _intro.txt,-1,-0.3349026,5.886049
Apoorva D. Patel_2023_The Quantum Density Matrix and its many uses- From_intro.txt,12,3.6954913,2.7259772
Apurva Tiwari_2025_Algorithmic Advances Towards a Realizable Quantum _intro.txt,14,-0.82515764,3.9629643
Aram W Harrow_2018_Quantum Computational Supremacy_intro.txt,14,0.6709742,3.458613
Aravind Plathanam Babu_2022_Quantum error correction under numerically exact o_intro.txt,30,-0.411761,8.151991
Archisman Ghosh_2024_Guardians of the Quantum GAN_intro.txt,4,-2.1525054,3.1093566
